query_name,constraint,cte,case_when,inner_join,left_join,right_join,group_by,selectivity_factor,subquery,explode,create,read,update,delete
silver_receita_federal_empresa,7,0,0,0,0,0,0,0.06481700855,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_cnae,2,0,0,0,0,0,0,0.05882352941,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_municipio,2,0,0,0,0,0,0,0.06149142365,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_motivo,2,0,0,0,0,0,0,0.05882352941,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_pais,2,0,0,0,0,0,0,0.0625,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_natureza_juridica,2,0,0,0,0,0,0,0.05886200131,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_qualificadores,2,0,0,0,0,0,0,0.05882352941,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_simples,11,0,0,0,0,0,0,0.06583711346,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_socios,11,0,1,0,0,0,0,0.06056004134,2,0,TRUE,TRUE,FALSE,FALSE
silver_receita_federal_estabelecimento,17,0,1,0,0,0,0,0.06153225926,2,0,TRUE,TRUE,FALSE,FALSE
silver_data_solution_contacts,0,0,1,0,0,0,0,0.6387493783,1,0,TRUE,TRUE,FALSE,FALSE
silver_data_operation_contacts,1,0,1,0,0,0,0,0.5426500958,1,0,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts,0,0,1,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_also_viewed,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_awards,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_certifications,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_courses,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_education,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_working_for,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_contacts_experience,0,1,2,0,2,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_companies_old_schema_treatments,0,0,4,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
silver_operia_complement,0,3,13,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE
silver_operia_companies_locations,0,1,4,0,1,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_companies_specialities,0,0,0,0,0,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE
silver_operia_companies_locations_multivalue,0,0,1,0,0,0,1,0,0,0,TRUE,TRUE,FALSE,FALSE
silver_operia_companies_specialities_multivalue,0,0,0,0,0,0,1,0,0,0,TRUE,TRUE,FALSE,FALSE
