query_name,input_rows_quantity,input_columns_quantity,output_rows_quantity,output_columns_quantity,worker_type,number_of_workers,runtime,stage,photon_acceleration
silver_receita_federal_empresa,"1,205,706,664.00",12.00,"53,974,344.00",10,r5d.2xlarge,2.00,698.00,bronze to silver,FALSE
silver_receita_federal_cnae,"19,026.00",7.00,"1,359.00",5,r5d.xlarge,2.00,228.00,bronze to silver,FALSE
silver_receita_federal_municipio,"73,885.00",7.00,"5,571.00",5,r5d.2xlarge,2.00,105.00,bronze to silver,FALSE
silver_receita_federal_motivo,854.00,7.00,61.00,5,r5d.2xlarge,2.00,235.00,bronze to silver,FALSE
silver_receita_federal_pais,"3,315.00",7.00,255.00,5,r5d.2xlarge,2.00,287.00,bronze to silver,FALSE
silver_receita_federal_natureza_juridica,"1,259.00",7.00,90.00,5,r5d.2xlarge,2.00,251.00,bronze to silver,FALSE
silver_receita_federal_qualificadores,952.00,7.00,68.00,5,r5d.2xlarge,2.00,122.00,bronze to silver,FALSE
silver_receita_federal_simples,"446,644,776.00",12.00,"35,626,793.00",10,r5d.2xlarge,2.00,"1,673.00",bronze to silver,FALSE
silver_receita_federal_socios,"309,393,873.00",16.00,"24,928,980.00",14,r5d.2xlarge,2.00,694.00,bronze to silver,FALSE
silver_receita_federal_estabelecimento,"986,982,794.00",35.00,"56,832,348.00",33,r5d.2xlarge,2.00,"1,616.00",bronze to silver,FALSE
silver_receita_federal_empresa,"720,272,864.00",12.00,"89,933,224.00",10,r5d.2xlarge,2.00,803.00,bronze to silver,FALSE
silver_receita_federal_cnae,"19,026.00",7.00,"1,359.00",5,r5d.2xlarge,2.00,208.00,bronze to silver,FALSE
silver_receita_federal_municipio,"79,456.00",7.00,"5,571.00",5,r5d.2xlarge,2.00,99.00,bronze to silver,FALSE
silver_receita_federal_motivo,915.00,7.00,61.00,5,r5d.2xlarge,2.00,105.00,bronze to silver,FALSE
silver_receita_federal_pais,"3,315.00",7.00,255.00,5,r5d.2xlarge,2.00,269.00,bronze to silver,FALSE
silver_receita_federal_natureza_juridica,"1,259.00",7.00,90.00,5,r5d.2xlarge,2.00,244.00,bronze to silver,FALSE
silver_receita_federal_qualificadores,952.00,7.00,68.00,5,r5d.2xlarge,2.00,140.00,bronze to silver,FALSE
silver_receita_federal_simples,"446,644,776.00",12.00,"35,626,793.00",10,r5d.2xlarge,2.00,"1,408.00",bronze to silver,FALSE
silver_receita_federal_socios,"332,263,103.00",16.00,"41,041,580.00",14,r5d.2xlarge,2.00,"1,219.00",bronze to silver,FALSE
silver_receita_federal_estabelecimento,"720,954,940.00",35.00,"56,832,348.00",33,r5d.2xlarge,2.00,"1,578.00",bronze to silver,FALSE
silver_receita_federal_empresa,"666,298,520.00",12.00,"35,958,880.00",10,r5d.2xlarge,2.00,615.00,bronze to silver,FALSE
silver_receita_federal_cnae,"19,026.00",7.00,"1,359.00",5,r5d.2xlarge,2.00,104.00,bronze to silver,FALSE
silver_receita_federal_municipio,"73,885.00",7.00,"5,571.00",5,r5d.2xlarge,2.00,256.00,bronze to silver,FALSE
silver_receita_federal_motivo,854.00,7.00,61.00,5,r5d.2xlarge,2.00,253.00,bronze to silver,FALSE
silver_receita_federal_pais,"3,315.00",7.00,255.00,5,r5d.2xlarge,2.00,262.00,bronze to silver,FALSE
silver_receita_federal_natureza_juridica,"1,259.00",7.00,90.00,5,r5d.2xlarge,2.00,256.00,bronze to silver,FALSE
silver_receita_federal_qualificadores,952.00,7.00,68.00,5,r5d.2xlarge,2.00,123.00,bronze to silver,FALSE
silver_receita_federal_simples,"446,644,776.00",12.00,"35,626,793.00",10,r5d.2xlarge,2.00,"1,402.00",bronze to silver,FALSE
silver_receita_federal_socios,"309,393,873",16.00,"18,172,350.00",14,r5d.2xlarge,2.00,448.00,bronze to silver,FALSE
silver_receita_federal_estabelecimento,"720,954,940.00",35.00,"56,832,348.00",33,r5d.2xlarge,2.00,"1,648.00",bronze to silver,FALSE
silver_receita_federal_empresa,"738,601,861.00",12.00,"54,287,869.00",10,i3.xlarge,10.00,132.00,bronze to silver,TRUE
silver_receita_federal_cnae,"20,385.00",7.00,"1,359.00",5,i3.xlarge,10.00,76.00,bronze to silver,TRUE
silver_receita_federal_municipio,"79,456.00",7.00,"5,571.00",5,i3.xlarge,10.00,88.00,bronze to silver,TRUE
silver_receita_federal_motivo,915,7.00,61,5,i3.xlarge,10.00,73.00,bronze to silver,TRUE
silver_receita_federal_pais,"3,570.00",7.00,255.00,5,i3.xlarge,10.00,75.00,bronze to silver,TRUE
silver_receita_federal_natureza_juridica,"1,349.00",7.00,90.00,5,i3.xlarge,10.00,81.00,bronze to silver,TRUE
silver_receita_federal_qualificadores,952.00,7.00,68.00,5,i3.xlarge,10.00,73.00,bronze to silver,TRUE
silver_receita_federal_simples,"482,563,746.00",12.00,"35,918,970.00",10,i3.xlarge,10.00,"4,048.00",bronze to silver,TRUE
silver_receita_federal_socios,"337,069,413.00",16.00,"22,976,567.00",14,i3.xlarge,10.00,91.00,bronze to silver,TRUE
silver_receita_federal_estabelecimento,"720,954,940.00",35.00,"56,812,345.00",33,i3.xlarge,10.00,"3,414.00",bronze to silver,TRUE
silver_receita_federal_empresa,"738,601,861.00",12.00,"54,287,869.00",10,i3.xlarge,10.00,149.00,bronze to silver,TRUE
silver_receita_federal_cnae,"20,385.00",7.00,"1,359.00",5,i3.xlarge,10.00,134.00,bronze to silver,TRUE
silver_receita_federal_municipio,"79,456.00",7.00,"5,571.00",5,i3.xlarge,10.00,150.00,bronze to silver,TRUE
silver_receita_federal_motivo,915.00,7.00,61.00,5,i3.xlarge,10.00,131.00,bronze to silver,TRUE
silver_receita_federal_pais,"3,570.00",7.00,255.00,5,i3.xlarge,10.00,85.00,bronze to silver,TRUE
silver_receita_federal_natureza_juridica,"1,349.00",7.00,90.00,5,i3.xlarge,10.00,62.00,bronze to silver,TRUE
silver_receita_federal_qualificadores,"1,020.00",7.00,68.00,5,i3.xlarge,10.00,42.00,bronze to silver,TRUE
silver_receita_federal_simples,"482,563,746.00",12.00,"35,918,970.00",10,i3.xlarge,10.00,"1,236.00",bronze to silver,TRUE
silver_receita_federal_socios,"337,069,413.00",16.00,"22,976,567.00",14,i3.xlarge,10.00,74.00,bronze to silver,TRUE
silver_receita_federal_estabelecimento,"778,111,581.00",35.00,"56,812,345.00",33,i3.xlarge,10.00,723.00,bronze to silver,TRUE
silver_receita_federal_empresa,"738,601,861.00",12.00,"54,287,869.00",10,r5d.2xlarge,4.00,"1,554.00",bronze to silver,TRUE
silver_receita_federal_cnae,"20,385.00",7.00,"1,359.00",5,r5d.2xlarge,4.00,61.00,bronze to silver,TRUE
silver_receita_federal_municipio,"79,456.00",7.00,"5,571.00",5,r5d.2xlarge,4.00,65.00,bronze to silver,TRUE
silver_receita_federal_motivo,915.00,7.00,61.00,5,r5d.2xlarge,4.00,44.00,bronze to silver,TRUE
silver_receita_federal_pais,"3,570.00",7.00,255.00,5,r5d.2xlarge,4.00,65.00,bronze to silver,TRUE
silver_receita_federal_natureza_juridica,"1,349.00",7.00,90.00,5,r5d.2xlarge,4.00,47.00,bronze to silver,TRUE
silver_receita_federal_qualificadores,"1,020.00",7.00,68.00,5,r5d.2xlarge,4.00,61.00,bronze to silver,TRUE
silver_receita_federal_simples,"482,563,746.00",12.00,"35,918,970.00",10,r5d.2xlarge,4.00,868.00,bronze to silver,TRUE
silver_receita_federal_socios,485.00,16.00,0.00,14,r5d.2xlarge,4.00,29.00,bronze to silver,TRUE
silver_receita_federal_estabelecimento,"778,111,581.00",35.00,"56,812,345.00",33,m5d.4xlarge,8.00,990.00,bronze to silver,TRUE
silver_receita_federal_empresa,"793,286,951.00",12.00,"54,685,083.00",10,i3.xlarge,8.00,538.00,bronze to silver,FALSE
silver_receita_federal_cnae,"20,385.00",7.00,"1,359.00",5,i3.xlarge,8.00,11.00,bronze to silver,FALSE
silver_receita_federal_municipio,"79,456.00",7.00,"5,571.00",5,i3.xlarge,8.00,470.00,bronze to silver,FALSE
silver_receita_federal_motivo,915.00,7.00,61.00,5,i3.xlarge,8.00,4.00,bronze to silver,FALSE
silver_receita_federal_pais,"3,570.00",7.00,255.00,5,i3.xlarge,8.00,485.00,bronze to silver,FALSE
silver_receita_federal_natureza_juridica,"1,349.00",7.00,90.00,5,i3.xlarge,8.00,251.00,bronze to silver,FALSE
silver_receita_federal_qualificadores,"1,020.00",7.00,68.00,5,i3.xlarge,8.00,29.00,bronze to silver,FALSE
